amplitude_d,direction_deg,gain,rho,seed,round,receiver_id,angle_01_rad,angle_02_rad,angle_12_rad,target_angle_01_rad,target_angle_02_rad,target_angle_12_rad,max_angle_error_rad,measurement_slot,measurement_tx_count,estimated_x,estimated_y,estimator_residual_rad,estimator_success,nfev,delta_x,delta_y,action_applied,event,failure
0.005,0,0.5,0.0,ideal,2,6,1.5718795372444214,3.1405114716147633,1.570794298320402,1.5707963267948966,3.141592653589793,1.5707963267948968,0.001083210449524863,2,3,2.9981249970767547,1.7331360456408442,2.220446049250313e-15,True,3,0.0009375014616226363,-0.0005426190359835159,True,observe_and_move,
0.005,0,0.5,0.0,ideal,2,7,3.140867208279859,1.2890400369358785,1.8518271713439804,3.141592653589793,1.289761425292083,1.8518312282977105,0.0007254453099339031,2,3,0.4984367179364475,0.864404300637185,2.220446049250313e-16,True,4,0.0007816410317762479,0.0008105515736266944,True,observe_and_move,
0.005,0,0.5,0.0,ideal,2,8,2.285449398434352,1.7132166642402158,2.284519244505019,2.2845207057396624,1.714143895700262,2.2845207057396624,0.0009286926946896479,2,3,1.4983125013498166,0.8657017804657371,9.192646643896296e-14,True,3,0.0008437493250916805,0.00016181165935064135,True,observe_and_move,
0.005,0,0.5,0.0,ideal,2,9,1.7150724328255587,2.283593630214363,2.2845192441396645,1.714143895700262,2.2845207057396624,2.2845207057396624,0.0009285371252967245,2,3,2.49831250135018,0.8663513004197828,9.192646643896296e-14,True,3,0.0008437493249100481,-0.00016294831767221796,True,observe_and_move,
0.005,0,0.5,0.0,ideal,2,10,1.2904834150520639,3.1408747258579,1.8518271662696226,1.289761425292083,3.141592653589793,1.8518312282977105,0.0007219897599808345,2,3,3.4984382804359386,0.8676519195818324,4.440892098500626e-16,True,4,0.0007808597820306851,-0.0008132578986970174,True,observe_and_move,
0.005,0,0.5,0.0,ideal,2,12,1.8524972735011505,1.2890953800886429,3.141592653589793,1.8518312282977103,1.289761425292083,3.141592653589793,0.0006660452034401576,2,3,0.9974999999998746,1.6615881041263494e-16,4.884981308350689e-15,True,3,0.001250000000062701,-8.307940520631747e-17,True,observe_and_move,
0.005,0,0.5,0.0,ideal,2,13,1.5715180145060907,1.5700746390837026,3.141592653589793,1.5707963267948966,1.5707963267948966,3.141592653589793,0.0007216877111941855,2,3,1.9975,2.2185484857294235e-16,0.0,True,3,0.0012499999999999734,-1.1092742428647117e-16,True,observe_and_move,
0.005,0,0.5,0.0,ideal,2,14,1.2904277267158768,1.8511649268739165,3.141592653589793,1.289761425292083,1.8518312282977103,3.141592653589793,0.0006663014237937581,2,3,2.9975000000001235,-2.713897827856037e-21,4.884981308350689e-15,True,3,0.001249999999938245,1.3569489139280184e-21,True,observe_and_move,
0.005,0,0.5,0.0,ideal,3,2,3.140509328548411,1.8507493694284016,1.2897599591200093,3.141592653589793,1.85183122829771,1.289761425292083,0.0010833250413821993,3,3,1.498907421469328,2.5978096392432697,0.0,True,4,0.000546289265335953,0.00013328605502316293,True,observe_and_move,
0.005,0,0.5,0.0,ideal,3,3,1.852914440337989,3.140510907228242,1.2897599596133555,1.85183122829771,3.141592653589793,1.289761425292083,0.0010832120402788359,3,3,2.4989050777168993,2.598350902442471,4.440892098500626e-16,True,4,0.0005474611415503539,-0.00013734554457744963,True,observe_and_move,
0.005,0,0.5,0.0,ideal,3,4,3.141049357223666,1.5702552291632335,1.5707941280604325,3.141592653589793,1.5707963267948966,1.5707963267948968,0.000543296366127155,3,3,0.9990624985357373,1.7315135999226192,0.0,True,3,0.0004687507321313733,0.0002686038231289878,True,observe_and_move,
0.005,0,0.5,0.0,ideal,3,5,2.2852430978738667,2.28379972089534,1.7141424884103797,2.2845207057396624,2.2845207057396624,1.7141438957002622,0.0007223921342043305,3,3,1.9991250000218757,1.732053080884568,5.10702591327572e-15,True,3,0.00043749998906217336,-1.136657845401956e-06,True,observe_and_move,
