phase_a,phase_b,tx_a,tx_b,rho_cycle,rho_per_slot,cycle_norm_2,two_cycle_norm_2
10,22,0-1-3-6,0-1-5-9,1.0000000000000004,1.0000000000000002,1.349382746548671,1.5089597819591118
3,18,0-1-2-5,0-1-4-9,1.0000000000000002,1.0,1.3413993539696982,1.5164829677839506
11,25,0-1-3-7,0-1-6-9,1.0000000000000013,1.0000000000000007,1.4042798556837228,1.5384459264685075
3,17,0-1-2-5,0-1-4-8,0.9999999999999989,0.9999999999999994,1.391279355127087,1.5510113530322354
6,16,0-1-2-8,0-1-4-7,0.9999999999999988,0.9999999999999993,1.6178969612479706,1.5563649586578079
13,16,0-1-3-9,0-1-4-7,0.9999999999999991,0.9999999999999996,1.617896961247973,1.556364958657809
7,20,0-1-2-9,0-1-5-7,1.0000000000000024,1.000000000000001,2.20690811567785,1.5625513754211728
7,15,0-1-2-9,0-1-4-6,0.9999999999999996,0.9999999999999998,2.206908115677851,1.562551375421173
6,18,0-1-2-8,0-1-4-9,0.9999999999999993,0.9999999999999997,1.5855201744833722,1.564386737697145
4,21,0-1-2-6,0-1-5-8,1.0000000000000009,1.0000000000000004,1.4161427482414353,1.5685542603004872
5,21,0-1-2-7,0-1-5-8,0.9999999999999999,0.9999999999999999,1.4889425901901556,1.6634879585589095
5,13,0-1-2-7,0-1-3-9,1.0,1.0,1.4931886534347383,1.7202884001862524
7,24,0-1-2-9,0-1-6-8,0.9999999999999984,0.9999999999999992,2.293491349787162,1.9546714081590415
7,9,0-1-2-9,0-1-3-5,0.9999999999999989,0.9999999999999994,2.2934913497871623,1.9546714081590415
7,21,0-1-2-9,0-1-5-8,1.0000000000000027,1.0000000000000013,2.4100264879276136,2.3357968737229493
7,10,0-1-2-9,0-1-3-6,0.9999999999999991,0.9999999999999996,2.410026487927613,2.33579687372295
4,13,0-1-2-6,0-1-3-9,1.0258478103064868,1.0128414536868477,1.347283272705252,1.5143329190095243
6,22,0-1-2-8,0-1-5-9,1.0258478103064899,1.012841453686849,1.6590106041713468,1.6885893196772306
3,12,0-1-2-5,0-1-3-8,1.0526976444231995,1.0260105479103026,1.4609148207234814,1.5435745984067426
12,25,0-1-3-8,0-1-6-9,1.0526976444232001,1.026010547910303,1.526981382256372,1.768556529844939
6,11,0-1-2-8,0-1-3-7,1.0557855190978025,1.0275142427712631,1.512452992502254,1.728639890753135
13,17,0-1-3-9,0-1-4-8,1.0557855190978036,1.0275142427712638,1.5124529925022536,1.728639890753136
7,16,0-1-2-9,0-1-4-7,1.0685790213016295,1.033720959109193,2.2097619411937663,1.941574217090903
7,26,0-1-2-9,0-1-7-8,1.0910356970008996,1.0445265420279657,2.1264416542248106,2.584965018051262
7,8,0-1-2-9,0-1-3-4,1.091035697000898,1.044526542027965,2.1264416542248115,2.5849650180512667
6,27,0-1-2-8,0-1-7-9,1.094964119820204,1.0464053324693086,1.5832533443196193,1.9395556518529695
2,13,0-1-2-4,0-1-3-9,1.0949641198202045,1.0464053324693088,1.7297101715731045,1.9657327819780492
6,13,0-1-2-8,0-1-3-9,1.0949641198202058,1.0464053324693094,1.6458668692214693,2.092715944232458
7,11,0-1-2-9,0-1-3-7,1.1251150267117094,1.0607143945057544,2.0168455907966947,2.3360919040128136
7,17,0-1-2-9,0-1-4-8,1.1251150267117087,1.0607143945057542,2.016845590796695,2.336091904012814
7,12,0-1-2-9,0-1-3-8,1.1692009854179197,1.08129597493837,1.926124651187998,2.833520378067457
1,28,0-1-2-3,0-1-8-9,1.2545229264711815,1.1200548765445295,1.8856675817422646,2.801751171143375
