configuration,full_rows,degenerate_rows,regular_rows,rank_1e-08,rank_1e-09,rank_1e-10,sigma_26,sigma_27,shape_rank_1e-08,shape_rank_1e-09,shape_rank_1e-10,gauge_residual
1-8-13,36,2,34,24,24,24,2.297038424495553e-16,2.1635440354190806e-16,24,24,24,7.569315979201738e-17
1-8-14,36,0,36,24,24,24,3.6393469986032594e-16,2.682149125136773e-16,24,24,24,7.610592590479675e-17
1-8-15,36,3,33,24,24,24,2.53834177953317e-16,1.8229547700992583e-16,24,24,24,7.622198089051931e-17
1-9-10,36,5,31,24,24,24,1.7762317062631477e-16,1.4304882803636314e-16,24,24,24,8.591909798127471e-17
1-9-11,36,3,33,24,24,24,2.0169933647323077e-16,1.4372615098152423e-16,24,24,24,8.050718232562565e-17
1-9-12,36,0,36,24,24,24,4.422145027492738e-16,2.325336010469131e-16,24,24,24,7.772209550696039e-17
1-9-13,36,2,34,24,24,24,3.1350177253607066e-16,1.5381504027978964e-16,24,24,24,7.661423178918979e-17
1-9-14,36,2,34,24,24,24,1.7868955062701345e-16,1.536093653996488e-16,24,24,24,8.554179778592233e-17
1-9-15,36,4,32,24,24,24,2.254472729063451e-16,1.7164191528430058e-16,24,24,24,8.143247287878749e-17
1-10-11,36,6,30,24,24,24,1.744786440926511e-16,1.0595238012587488e-16,24,24,24,8.366266664407537e-17
1-10-12,36,3,33,24,24,24,2.470667186816301e-16,1.9598565254402403e-16,24,24,24,7.710409712972797e-17
1-10-13,36,4,32,24,24,24,2.5002069083060623e-16,1.8650295426562277e-16,24,24,24,6.966324217697768e-17
1-10-14,36,3,33,24,24,24,1.9272072131560202e-16,1.555405198325938e-16,24,24,24,8.800899468898003e-17
1-10-15,36,6,30,20,20,20,6.699454593112314e-17,5.890964359250288e-17,20,20,20,9.862891459397974e-17
1-11-12,36,6,30,24,24,24,1.6054876572081122e-16,9.490658348570884e-17,24,24,24,1.0098555327095786e-16
1-11-13,36,7,29,24,24,24,2.0429850112391048e-16,1.215152545766037e-16,24,24,24,8.544254745108992e-17
1-11-14,36,6,30,24,24,24,1.6220023145175525e-16,1.3641985142865026e-16,24,24,24,9.087217985298559e-17
1-11-15,36,9,27,24,24,24,1.2521198400278745e-16,3.0568852868231944e-17,24,24,24,1.0173955693547693e-16
1-12-13,36,4,32,24,24,24,1.9964161653017172e-16,1.8766756365746457e-16,24,24,24,8.243693082751912e-17
1-12-14,36,3,33,24,24,24,2.5623781346578633e-16,2.192062821097399e-16,24,24,24,8.602672119376779e-17
1-12-15,36,6,30,24,24,24,2.167074021836841e-16,8.808220157489284e-17,24,24,24,9.090036718329547e-17
1-13-14,36,4,32,24,24,24,2.6743478909587983e-16,1.6644211281509527e-16,24,24,24,8.073150317288977e-17
1-13-15,36,7,29,24,24,24,1.3078025685518828e-16,1.0855657313256043e-16,24,24,24,8.1772855471426e-17
1-14-15,36,6,30,24,24,24,2.3499029042833337e-16,1.2854529783944544e-16,24,24,24,9.910199158545398e-17
2-3-4,36,3,33,23,23,23,1.2482672678513422e-16,7.24388147985763e-17,23,23,23,7.433434113192061e-17
2-3-5,36,4,32,24,24,24,1.670240708213835e-16,1.474507108485217e-16,24,24,24,7.494265793386446e-17
2-3-6,36,3,33,23,23,23,1.7851253796818962e-16,9.60524652717547e-17,23,23,23,7.835150648401692e-17
2-3-7,36,3,33,23,23,23,1.5993648996872724e-16,9.57175866983262e-17,23,23,23,6.653602061687962e-17
2-3-8,36,2,34,23,23,23,1.9514150048629422e-16,1.570411245811628e-16,23,23,23,6.886117535082763e-17
2-3-9,36,2,34,23,23,23,1.38696551875903e-16,1.0635992967525766e-16,23,23,23,6.270939912947309e-17
2-3-10,36,3,33,23,23,23,1.201986001970519e-16,1.0008207721064621e-16,23,23,23,7.025106117750217e-17
2-3-11,36,3,33,24,24,24,1.6925380457308178e-16,1.2862601473318457e-16,24,24,24,7.659815448557324e-17
2-3-12,36,2,34,23,23,23,1.1389301758319005e-16,1.0295303779781322e-16,23,23,23,6.823366414751189e-17
2-3-13,36,0,36,24,24,24,3.1313225902036986e-16,2.3164624301216717e-16,24,24,24,5.939347971482615e-17
2-3-14,36,2,34,23,23,23,1.650558462650068e-16,1.4702805566704717e-16,23,23,23,6.859636490939586e-17
2-3-15,36,3,33,24,24,24,2.0946716965904768e-16,1.3886939778033167e-16,24,24,24,7.124810609681886e-17
2-4-5,36,6,30,24,24,24,8.741551196177202e-17,6.545570693186316e-17,24,24,24,5.139303260536573e-17
2-4-6,36,4,32,23,23,23,1.2097324086483408e-16,1.0825698970884085e-16,23,23,23,6.068394463976895e-17
2-4-7,36,6,30,20,20,20,2.948407503296547e-17,1.9978973006215087e-17,20,20,20,4.572277630374926e-17
2-4-8,36,4,32,23,23,23,2.0378151287601526e-16,8.594421959928969e-17,23,23,23,4.885298696125673e-17
2-4-9,36,6,30,23,23,23,1.9243531868875398e-16,1.349218508475232e-16,23,23,23,4.216646807836916e-17
