rho,seed,gain,round,receiver_id,delta_x,delta_y,true_position_after_x,true_position_after_y,action_number
0.1,11,0.5,12,1,-3.074808191660949e-05,-3.052703351436037e-05,2.000030748081917,3.4641321421712696,12
0.1,11,0.5,13,1,-1.537404095852679e-05,-1.526351675740223e-05,2.0000153740409585,3.4641168786545125,13
0.1,11,0.5,14,1,-7.687020479263396e-06,-7.631758378590092e-06,2.0000076870204793,3.464109246896134,14
0.1,11,0.5,15,1,-3.843510239631698e-06,-3.815879189739135e-06,2.00000384351024,3.464105431016944,15
0.1,11,0.5,16,1,-1.921755120148916e-06,-1.907939595424679e-06,2.0000019217551195,3.4641035230773483,16
0.1,11,0.5,17,1,-9.608775601854802e-07,-9.539697973792727e-07,2.0000009608775593,3.464102569107551,17
0.1,11,0.5,18,1,-4.804387796486509e-07,-4.769848982455471e-07,2.0000004804387794,3.4641020921226526,18
0.1,11,0.5,19,1,-2.4021938971330314e-07,-2.3849244934481817e-07,2.0000002402193897,3.4641018536302033,19
0.1,11,0.5,20,1,-1.2010969463460697e-07,-1.1924622400627527e-07,2.000000120109695,3.4641017343839793,20
0.1,11,0.5,21,1,-6.005484731730348e-08,-5.962311266927145e-08,2.0000000600548478,3.4641016747608666,21
0.1,11,0.5,22,1,-3.002742410274095e-08,-2.981155611259112e-08,2.0000000300274237,3.4641016449493103,22
0.1,11,0.5,23,1,-1.501371227341508e-08,-1.4905778611407072e-08,2.000000015013711,3.4641016300435314,23
0.1,23,0.5,1,1,-0.06078063652661658,0.02346533210548052,2.060780636526616,3.4406362830322736,1
0.1,23,0.5,2,1,-0.03039031826330807,0.011732666052740592,2.030390318263308,3.452368949085014,2
0.1,23,0.5,3,1,-0.015195159131653702,0.005866333026370407,2.015195159131654,3.458235282111384,3
0.1,23,0.5,4,1,-0.007597579565826962,0.0029331665131853146,2.007597579565827,3.4611684486245693,4
0.1,23,0.5,5,1,-0.003798789782913481,0.0014665832565925463,2.0037987897829135,3.462635031881162,5
0.1,23,0.5,6,1,-0.0018993948914567405,0.0007332916282962731,2.0018993948914567,3.4633683235094583,6
0.1,23,0.5,7,1,-0.0009496974457283702,0.00036664581414802555,2.000949697445728,3.4637349693236064,7
0.1,23,0.5,8,1,-0.0004748487228640741,0.00018332290707379073,2.000474848722864,3.46391829223068,8
0.1,23,0.5,9,1,-0.000237424361431815,9.166145353689537e-05,2.0002374243614325,3.464009953684217,9
0.1,23,0.5,10,1,-0.00011871218071624057,4.5830726769002794e-05,2.0001187121807162,3.464055784410986,10
0.1,23,0.5,11,1,-5.935609035834233e-05,2.291536338461242e-05,2.000059356090358,3.4640786997743707,11
0.1,23,0.5,12,1,-2.9678045179171164e-05,1.145768169186212e-05,2.0000296780451787,3.4640901574560625,12
0.1,23,0.5,13,1,-1.4839022589363537e-05,5.72884084593106e-06,2.0000148390225894,3.4640958862969082,13
0.1,23,0.5,14,1,-7.419511294459724e-06,2.864420422854508e-06,2.000007419511295,3.464098750717331,14
0.1,23,0.5,15,1,-3.7097556473408844e-06,1.4322102124264546e-06,2.0000037097556476,3.4641001829275435,15
0.1,23,0.5,16,1,-1.8548778235594199e-06,7.161051052140266e-07,2.000001854877824,3.4641008990326485,16
0.1,23,0.5,17,1,-9.274389118907322e-07,3.580525529400802e-07,2.000000927438912,3.4641012570852014,17
0.1,23,0.5,18,1,-4.637194559453661e-07,1.790262766920847e-07,2.0000004637194557,3.464101436111478,18
0.1,23,0.5,19,1,-2.3185972808370536e-07,8.951313823502005e-08,2.000000231859728,3.464101525624616,19
0.1,23,0.5,20,1,-1.1592986370878577e-07,4.4756569117510026e-08,2.000000115929864,3.4641015703811853,20
0.1,23,0.5,21,1,-5.796493196541519e-08,2.2378285002844223e-08,2.000000057964932,3.4641015927594703,21
0.1,23,0.5,22,1,-2.8982466426796805e-08,1.1189141835288297e-08,2.0000000289824653,3.4641016039486123,22
0.1,47,0.5,1,1,-0.008709849929208868,-0.03866927063635828,2.0087098499292084,3.502770885774112,1
0.1,47,0.5,2,1,-0.00435492496460399,-0.019334635318178917,2.0043549249646047,3.4834362504559335,2
0.1,47,0.5,3,1,-0.00217746248230255,-0.009667317659089791,2.002177462482302,3.473768932796844,3
0.1,47,0.5,4,1,-0.00108873124115072,-0.004833658829544785,2.0010887312411514,3.468935273967299,4
0.1,47,0.5,5,1,-0.000544365620575693,-0.0024168294147728364,2.0005443656205757,3.466518444552526,5
0.1,47,0.5,6,1,-0.0002721828102878465,-0.0012084147073863072,2.0002721828102876,3.46531002984514,6
0.1,47,0.5,7,1,-0.00013609140514381224,-0.0006042073536927095,2.000136091405144,3.464705822491447,7
0.1,47,0.5,8,1,-6.804570257168407e-05,-0.00030210367684579964,2.000068045702572,3.464403718814601,8
0.1,47,0.5,9,1,-3.402285128606408e-05,-0.00015105183842356595,2.000034022851286,3.4642526669761775,9
0.1,47,0.5,10,1,-1.7011425642809996e-05,-7.552591921133889e-05,2.0000170114256433,3.4641771410569664,10
0.1,47,0.5,11,1,-8.505712821627043e-06,-3.7762959606224555e-05,2.0000085057128216,3.46413937809736,11
0.1,47,0.5,12,1,-4.252856410591477e-06,-1.8881479802557166e-05,2.000004252856411,3.464120496617557,12
0.1,47,0.5,13,1,-2.1264282052957384e-06,-9.44073990116756e-06,2.000002126428206,3.464111055877656,13
0.1,47,0.5,14,1,-1.0632141032029807e-06,-4.7203699513609365e-06,2.0000010632141025,3.464106335507705,14
0.1,47,0.5,15,1,-5.316070512684234e-07,-2.360184975902513e-06,2.0000005316070513,3.464103975322729,15
0.1,47,0.5,16,1,-2.658035251901225e-07,-1.180092487063078e-06,2.000000265803526,3.464102795230242,16
0.1,47,0.5,17,1,-1.3290176315017277e-07,-5.900462440866505e-07,2.0000001329017625,3.4641022051839983,17
0.1,47,0.5,18,1,-6.645088124201948e-08,-2.9502312148821375e-07,2.0000000664508812,3.4641019101608768,18
0.1,47,0.5,19,1,-3.322544062100974e-08,-1.4751156118819608e-07,2.0000000332254406,3.4641017626493156,19
0.1,47,0.5,20,1,-1.6612720532549474e-08,-7.375578081614265e-08,2.00000001661272,3.4641016888935345,20
0.1,47,0.5,21,1,-8.306360044230132e-09,-3.687789029704902e-08,2.00000000830636,3.4641016520156445,21
0.2,11,0.5,1,1,-0.12919861702677515,-0.1234855708102065,2.1291986170267747,3.5875871859479593,1
0.2,11,0.5,2,1,-0.06459930851338735,-0.06174278540510292,2.0645993085133876,3.5258444005428564,2
0.2,11,0.5,3,1,-0.03229965425669379,-0.030871392702551015,2.032299654256694,3.494973007840305,3
0.2,11,0.5,4,1,-0.016149827128346894,-0.015435696351275396,2.0161498271283467,3.47953731148903,4
0.2,11,0.5,5,1,-0.008074913564173558,-0.007717848175637476,2.0080749135641733,3.471819463313392,5
0.2,11,0.5,6,1,-0.004037456782086446,-0.003858924087819071,2.004037456782087,3.4679605392255732,6
0.2,11,0.5,7,1,-0.002018728391043334,-0.0019294620439087584,2.002018728391044,3.4660310771816647,7
0.2,11,0.5,8,1,-0.0010093641955222221,-0.0009647310219551564,2.0010093641955216,3.4650663461597095,8
0.2,11,0.5,9,1,-0.000504682097760778,-0.0004823655109775782,2.000504682097761,3.464583980648732,9
0.2,11,0.5,10,1,-0.00025234104888061104,-0.00024118275548912216,2.0002523410488804,3.4643427978932433,10
0.2,11,0.5,11,1,-0.0001261705244406386,-0.00012059137774489415,2.0001261705244398,3.4642222065154984,11
0.2,11,0.5,12,1,-6.30852622198752e-05,-6.0295688872002984e-05,2.00006308526222,3.4641619108266264,12
