rho,seed,gain,round,alpha_rad,beta_rad,target_alpha_rad,target_beta_rad,max_angle_error_rad,relay_scalar_count,measurement_slot_count,measurement_tx_count,estimate_x,estimate_y,action_x,action_y,action_applied,event,failure
0.01,11,0.5,12,1.0471970217717252,1.0471996225309217,1.0471975511965976,1.0471975511965976,2.071334324060814e-06,2,2,4,2.0000060062014353,3.4641077827759856,-3.0031007176578584e-06,-3.0838191156234984e-06,True,observe_and_move,
0.01,11,0.5,13,1.0471972864838852,1.0471985868640625,1.0471975511965976,1.0471975511965976,1.035667464899248e-06,2,2,4,2.0000030031007183,3.4641046989568705,-1.501550359161996e-06,-1.5419095580337938e-06,True,observe_and_move,
0.01,11,0.5,14,1.0471974188401725,1.0471980690304057,1.0471975511965976,1.0471975511965976,5.17833808055812e-07,2,2,4,2.0000015015503587,3.4641031570473118,-7.507751793589534e-07,-7.7095477868383e-07,True,observe_and_move,
0.01,11,0.5,15,1.0471974850183678,1.0471978101135206,1.0471975511965976,1.0471975511965976,2.5891692301271974e-07,2,2,4,2.000000750775179,3.4641023860925326,-3.753875894574321e-07,-3.854773891198704e-07,True,observe_and_move,
0.01,11,0.5,16,1.0471975181074784,1.047197680655064,1.0471975511965976,1.0471975511965976,1.2945846639134118e-07,2,2,4,2.0000003753875903,3.4641020006151444,-1.8769379517280527e-07,-1.927386950040244e-07,True,observe_and_move,
0.01,11,0.5,17,1.0471975346520368,1.047197615925832,1.0471975511965976,1.0471975511965976,6.472923441691592e-08,2,2,4,2.0000001876937956,3.4641018078764487,-9.384689780844724e-08,-9.63693471689453e-08,True,observe_and_move,
0.01,11,0.5,18,1.047197542924317,1.047197583561215,1.0471975511965976,1.0471975511965976,3.236461743050256e-08,2,2,4,2.0000000938468974,3.4641017115071007,-4.6923448682179014e-08,-4.818467314038344e-08,True,observe_and_move,
0.01,11,0.5,19,1.0471975470604573,1.0471975673789065,1.0471975511965976,1.0471975511965976,1.6182308826273584e-08,2,2,4,2.0000000469234487,3.4641016633224275,-2.3461724341089507e-08,-2.409233657019172e-08,True,observe_and_move,
0.01,11,0.5,20,1.0471975491285277,1.0471975592877523,1.0471975511965976,1.0471975511965976,8.091154635181397e-09,2,2,4,2.0000000234617246,3.4641016392300927,0.0,0.0,False,stop_angle_threshold,
0.01,23,0.5,1,1.0439870637001463,1.04931646725039,1.0471975511965976,1.0471975511965976,0.003210487496451364,2,2,4,2.0122999277161258,3.459706676894178,-0.006149963858062879,0.002197469121788087,True,observe_and_move,
