rho,seed,gain,round,receiver_id,angle_01_rad,angle_02_rad,angle_12_rad,target_angle_01_rad,target_angle_02_rad,target_angle_12_rad,max_angle_error_rad,measurement_slot,measurement_tx_count,estimated_x,estimated_y,estimator_residual_rad,estimator_success,nfev,delta_x,delta_y,action_applied,event,failure
0.01,47,1.0,1,4,3.1385214193383786,1.5689571443668724,1.5695642749715062,3.141592653589793,1.5707963267948966,1.5707963267948968,0.003071234251414534,1,3,0.9968125703651202,1.7326724891165721,1.0658141036401503e-14,True,3,0.0031874296348798348,-0.00062168154769493,True,observe_and_move,
0.01,47,1.0,1,5,2.2823373938094296,2.2857370183014996,1.7151108950686573,2.2845207057396624,2.2845207057396624,1.7141438957002622,0.002183311930232801,1,3,2.002062409462234,1.7303582145001044,4.440892098500626e-16,True,4,-0.002062409462233905,0.0016925930687727853,True,observe_and_move,
0.01,47,1.0,1,6,1.5673145257064798,3.134887068036315,1.567572542329835,1.5707963267948966,3.141592653589793,1.5707963267948968,0.006705585553478333,1,3,3.0060324206504068,1.735013569189514,3.885780586188048e-14,True,3,-0.006032420650406767,-0.002962761620636911,True,observe_and_move,
0.01,47,1.0,1,7,3.137482926367177,1.289459474696146,1.848023451671031,3.141592653589793,1.289761425292083,1.8518312282977105,0.004109727222616044,1,3,0.4982477036690057,0.8691625011616565,0.0,True,4,0.001752296330994274,-0.003137097377218123,True,observe_and_move,
0.01,47,1.0,1,8,2.277914147536257,1.7168073236865713,2.2884638359567577,2.2845207057396624,1.714143895700262,2.2845207057396624,0.006606558203405388,1,3,1.5072448037084447,0.8628086146926547,4.440892098500626e-16,True,4,-0.007244803708444714,0.0032167890917836894,True,observe_and_move,
0.01,47,1.0,1,9,1.7077958993677322,2.28769102002622,2.287698387785634,1.714143895700262,2.2845207057396624,2.2845207057396624,0.006347996332529693,1,3,2.5096449984038567,0.8604517285655042,0.0,True,4,-0.009644998403856686,0.005573675218934149,True,observe_and_move,
0.01,47,1.0,1,10,1.2875012984749765,3.1329210375569327,1.8454197390819564,1.289761425292083,3.141592653589793,1.8518312282977105,0.008671616032860374,1,3,3.506743824181498,0.8673328816930301,2.220446049250313e-16,True,4,-0.006743824181497882,-0.0013074779085917587,True,observe_and_move,
0.01,47,1.0,1,12,1.8533200837472787,1.2903887992376628,3.1394764241946453,1.8518312282977103,1.289761425292083,3.141592653589793,0.002116229395147773,1,3,1.0008255707192144,0.0015880462707104854,4.440892098500626e-16,True,4,-0.0008255707192144079,-0.0015880462707104854,True,observe_and_move,
0.01,47,1.0,1,13,1.5695225672020248,1.5705590208342566,3.1400815880362813,1.5707963267948966,1.5707963267948966,3.141592653589793,0.00151106555351177,1,3,2.0017983279419647,-0.0015110646193462448,3.552713678800501e-15,True,3,-0.0017983279419646614,0.0015110646193462448,True,observe_and_move,
0.01,47,1.0,1,14,1.2864852211688216,1.8409884983133251,3.127473719482147,1.289761425292083,1.8518312282977103,3.141592653589793,0.014118934107646197,1,3,3.00212623172402,-0.0105744825304304,4.440892098500626e-16,True,4,-0.0021262317240200446,0.0105744825304304,True,observe_and_move,
0.01,47,1.0,2,2,3.141592653589793,1.8518312282977103,1.289761425292083,3.141592653589793,1.85183122829771,1.289761425292083,2.220446049250313e-16,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.01,47,1.0,2,3,1.8518312282977103,3.141592653589793,1.289761425292083,1.85183122829771,3.141592653589793,1.289761425292083,2.220446049250313e-16,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.01,47,1.0,2,4,3.1415926535897825,1.5707963267948997,1.570796326794904,3.141592653589793,1.5707963267948966,1.5707963267948968,1.0658141036401503e-14,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.01,47,1.0,2,5,2.284520705739663,2.284520705739662,1.714143895700262,2.2845207057396624,2.2845207057396624,1.7141438957002622,4.440892098500626e-16,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.01,47,1.0,2,6,1.5707963267948775,3.141592653589773,1.5707963267949359,1.5707963267948966,3.141592653589793,1.5707963267948968,3.907985046680551e-14,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.01,47,1.0,2,7,3.141592653589793,1.2897614252920828,1.8518312282977103,3.141592653589793,1.289761425292083,1.8518312282977105,2.220446049250313e-16,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.01,47,1.0,2,8,2.284520705739662,1.714143895700262,2.284520705739663,2.2845207057396624,1.714143895700262,2.2845207057396624,4.440892098500626e-16,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.01,47,1.0,2,9,1.714143895700262,2.284520705739662,2.2845207057396624,1.714143895700262,2.2845207057396624,2.2845207057396624,4.440892098500626e-16,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.01,47,1.0,2,10,1.289761425292083,3.1415926535897927,1.8518312282977105,1.289761425292083,3.141592653589793,1.8518312282977105,4.440892098500626e-16,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
0.01,47,1.0,2,12,1.8518312282977103,1.2897614252920828,3.141592653589793,1.8518312282977103,1.289761425292083,3.141592653589793,2.220446049250313e-16,2,3,,,,,,0.0,0.0,False,stop_angle_threshold,
